"OverallQual";"Electrical";"SalePrice";"LotArea";"Street";"ExterCond"
7;"SBrkr";208500;;;
6;"SBrkr";181500;;;
7;"SBrkr";223500;;;
7;"SBrkr";140000;;;
8;"SBrkr";250000;;;
5;"SBrkr";143000;;;
8;"SBrkr";307000;;;
7;"SBrkr";200000;;;
7;"FuseF";129900;;;
5;"SBrkr";118000;;;
5;"SBrkr";129500;;;
9;"SBrkr";345000;;;
5;"SBrkr";144000;;;
7;"SBrkr";279500;;;
6;"SBrkr";157000;;;
7;"FuseA";132000;;;
6;"SBrkr";149000;;;
4;"SBrkr";90000;;;
5;"SBrkr";159000;;;
5;"SBrkr";139000;;;
8;"SBrkr";325300;;;
7;"FuseF";139400;;;
8;"SBrkr";230000;;;
5;"SBrkr";129900;;;
5;"SBrkr";154000;;;
8;"SBrkr";256300;;;
5;"SBrkr";134800;;;
8;"SBrkr";306000;;;
5;"SBrkr";207500;;;
4;"SBrkr";68500;;;
4;"SBrkr";40000;;;
5;"SBrkr";149350;;;
8;"SBrkr";179900;;;
5;"SBrkr";165500;;;
9;"SBrkr";277500;;;
8;"SBrkr";309000;;;
5;"SBrkr";145000;;;
5;"SBrkr";153000;;;
5;"SBrkr";109000;;;
4;"FuseP";82000;;;
6;"SBrkr";160000;;;
5;"SBrkr";170000;;;
5;"SBrkr";144000;;;
5;"SBrkr";130250;;;
5;"FuseA";141000;;;
9;"SBrkr";319900;;;
7;"SBrkr";239686;;;
8;"SBrkr";249700;;;
4;"SBrkr";113000;;;
5;"SBrkr";127000;;;
6;"SBrkr";177000;;;
6;"SBrkr";114500;;;
5;"SBrkr";110000;;;
9;"SBrkr";385000;;;
5;"SBrkr";130000;;;
6;"SBrkr";180500;;;
8;"SBrkr";172500;;;
7;"SBrkr";196500;;;
10;"SBrkr";438780;;;
5;"SBrkr";124900;;;
6;"SBrkr";158000;;;
5;"SBrkr";101000;;;
8;"SBrkr";202500;;;
7;"SBrkr";140000;;;
7;"SBrkr";219500;;;
8;"SBrkr";317000;;;
7;"SBrkr";180000;;;
7;"SBrkr";226000;;;
4;"SBrkr";80000;;;
7;"SBrkr";225000;;;
7;"SBrkr";244000;;;
4;"SBrkr";129500;;;
7;"SBrkr";185000;;;
5;"SBrkr";144900;;;
3;"SBrkr";107400;;;
4;"SBrkr";91000;;;
4;"FuseA";135750;;;
5;"SBrkr";127000;;;
4;"SBrkr";136500;;;
5;"SBrkr";110000;;;
6;"SBrkr";193500;;;
6;"SBrkr";153500;;;
8;"SBrkr";245000;;;
5;"SBrkr";126500;;;
7;"SBrkr";168500;;;
8;"SBrkr";260000;;;
6;"SBrkr";174000;;;
6;"SBrkr";164500;;;
3;"SBrkr";85000;;;
4;"SBrkr";123600;;;
4;"FuseA";109900;;;
5;"SBrkr";98600;;;
5;"SBrkr";163500;;;
6;"SBrkr";133900;;;
6;"SBrkr";204750;;;
6;"SBrkr";185000;;;
7;"SBrkr";214000;;;
4;"FuseF";94750;;;
5;"SBrkr";83000;;;
4;"SBrkr";128950;;;
6;"SBrkr";205000;;;
6;"SBrkr";178000;;;
5;"SBrkr";118964;;;
7;"SBrkr";198900;;;
7;"FuseF";169500;;;
8;"SBrkr";250000;;;
4;"SBrkr";100000;;;
5;"SBrkr";115000;;;
5;"FuseF";115000;;;
6;"SBrkr";190000;;;
6;"SBrkr";136900;;;
7;"SBrkr";180000;;;
7;"SBrkr";383970;;;
6;"SBrkr";217000;;;
6;"SBrkr";259500;;;
6;"SBrkr";176000;;;
5;"SBrkr";139000;;;
5;"SBrkr";155000;;;
7;"SBrkr";320000;;;
6;"SBrkr";163990;;;
6;"SBrkr";180000;;;
4;"SBrkr";100000;;;
6;"SBrkr";136000;;;
6;"SBrkr";153900;;;
6;"SBrkr";181000;;;
6;"SBrkr";84500;;;
6;"SBrkr";128000;;;
5;"SBrkr";87000;;;
6;"SBrkr";155000;;;
5;"FuseA";150000;;;
7;"SBrkr";226000;;;
6;"SBrkr";244000;;;
5;"SBrkr";150750;;;
8;"SBrkr";220000;;;
5;"SBrkr";180000;;;
7;"SBrkr";174000;;;
5;"SBrkr";143000;;;
7;"SBrkr";171000;;;
8;"SBrkr";230000;;;
6;"SBrkr";231500;;;
4;"SBrkr";115000;;;
7;"SBrkr";260000;;;
5;"SBrkr";166000;;;
7;"SBrkr";204000;;;
5;"SBrkr";125000;;;
6;"SBrkr";130000;;;
5;"FuseA";105000;;;
7;"SBrkr";222500;;;
7;"SBrkr";141000;;;
5;"FuseA";115000;;;
5;"SBrkr";122000;;;
8;"SBrkr";372402;;;
6;"SBrkr";190000;;;
6;"SBrkr";235000;;;
6;"FuseA";125000;;;
6;"FuseF";79000;;;
5;"FuseF";109500;;;
8;"SBrkr";269500;;;
7;"SBrkr";254900;;;
7;"SBrkr";320000;;;
6;"SBrkr";162500;;;
9;"SBrkr";412500;;;
7;"SBrkr";220000;;;
4;"SBrkr";103200;;;
6;"FuseA";152000;;;
5;"SBrkr";127500;;;
5;"FuseA";190000;;;
8;"SBrkr";325624;;;
7;"SBrkr";183500;;;
8;"SBrkr";228000;;;
5;"SBrkr";128500;;;
6;"SBrkr";215000;;;
7;"SBrkr";239000;;;
6;"SBrkr";163000;;;
6;"SBrkr";184000;;;
6;"SBrkr";243000;;;
6;"SBrkr";211000;;;
5;"SBrkr";172500;;;
9;"SBrkr";501837;;;
5;"SBrkr";100000;;;
6;"SBrkr";177000;;;
7;"SBrkr";200100;;;
5;"SBrkr";120000;;;
7;"SBrkr";200000;;;
5;"SBrkr";127000;;;
10;"SBrkr";475000;;;
7;"SBrkr";173000;;;
5;"SBrkr";135000;;;
5;"SBrkr";153337;;;
8;"SBrkr";286000;;;
8;"SBrkr";315000;;;
7;"SBrkr";184000;;;
7;"SBrkr";192000;;;
7;"SBrkr";130000;;;
5;"SBrkr";127000;;;
6;"SBrkr";148500;;;
7;"SBrkr";311872;;;
8;"SBrkr";235000;;;
6;"SBrkr";104000;;;
8;"SBrkr";274900;;;
4;"SBrkr";140000;;;
6;"SBrkr";171500;;;
6;"SBrkr";112000;;;
6;"SBrkr";149000;;;
5;"SBrkr";110000;;;
7;"SBrkr";180500;;;
5;"SBrkr";143900;;;
4;"SBrkr";141000;;;
7;"SBrkr";277000;;;
6;"SBrkr";145000;;;
5;"FuseA";98000;;;
6;"SBrkr";186000;;;
7;"SBrkr";252678;;;
5;"SBrkr";156000;;;
6;"SBrkr";161750;;;
5;"SBrkr";134450;;;
7;"SBrkr";210000;;;
4;"SBrkr";107000;;;
7;"SBrkr";311500;;;
7;"SBrkr";167240;;;
7;"SBrkr";204900;;;
6;"SBrkr";200000;;;
6;"SBrkr";179900;;;
4;"SBrkr";97000;;;
10;"SBrkr";386250;;;
5;"SBrkr";112000;;;
7;"SBrkr";290000;;;
6;"SBrkr";106000;;;
5;"SBrkr";125000;;;
7;"SBrkr";192500;;;
6;"SBrkr";148000;;;
8;"SBrkr";403000;;;
6;"SBrkr";94500;;;
5;"SBrkr";128200;;;
6;"SBrkr";216500;;;
6;"SBrkr";89500;;;
7;"SBrkr";185500;;;
7;"SBrkr";194500;;;
8;"SBrkr";318000;;;
6;"FuseA";113000;;;
8;"SBrkr";262500;;;
5;"SBrkr";110500;;;
5;"FuseA";79000;;;
6;"SBrkr";120000;;;
7;"SBrkr";205000;;;
7;"SBrkr";241500;;;
6;"FuseP";137000;;;
6;"SBrkr";140000;;;
7;"SBrkr";180000;;;
6;"SBrkr";277000;;;
3;"SBrkr";76500;;;
8;"SBrkr";235000;;;
6;"SBrkr";173000;;;
6;"SBrkr";158000;;;
5;"SBrkr";145000;;;
7;"SBrkr";230000;;;
6;"SBrkr";207500;;;
7;"SBrkr";220000;;;
7;"SBrkr";231500;;;
5;"FuseA";97000;;;
6;"SBrkr";176000;;;
8;"SBrkr";276000;;;
6;"SBrkr";151000;;;
5;"SBrkr";130000;;;
5;"FuseP";73000;;;
6;"SBrkr";175500;;;
6;"SBrkr";185000;;;
5;"SBrkr";179500;;;
5;"SBrkr";120500;;;
6;"SBrkr";148000;;;
8;"SBrkr";266000;;;
7;"SBrkr";241500;;;
8;"SBrkr";290000;;;
6;"SBrkr";139000;;;
5;"SBrkr";124500;;;
7;"SBrkr";205000;;;
7;"SBrkr";201000;;;
4;"SBrkr";141000;;;
9;"SBrkr";415298;;;
7;"SBrkr";192000;;;
7;"SBrkr";228500;;;
6;"SBrkr";185000;;;
7;"SBrkr";207500;;;
8;"SBrkr";244600;;;
6;"SBrkr";179200;;;
7;"SBrkr";164700;;;
6;"SBrkr";159000;;;
4;"SBrkr";88000;;;
5;"SBrkr";122000;;;
6;"FuseA";153575;;;
8;"SBrkr";233230;;;
5;"SBrkr";135900;;;
5;"SBrkr";131000;;;
7;"SBrkr";235000;;;
6;"SBrkr";167000;;;
6;"SBrkr";142500;;;
5;"FuseA";152000;;;
7;"SBrkr";239000;;;
6;"SBrkr";175000;;;
6;"SBrkr";158500;;;
5;"SBrkr";157000;;;
8;"SBrkr";267000;;;
7;"SBrkr";205000;;;
5;"SBrkr";149900;;;
7;"SBrkr";295000;;;
8;"SBrkr";305900;;;
7;"SBrkr";225000;;;
6;"FuseA";89500;;;
4;"SBrkr";82500;;;
9;"SBrkr";360000;;;
6;"SBrkr";165600;;;
6;"SBrkr";132000;;;
5;"SBrkr";119900;;;
7;"SBrkr";375000;;;
7;"SBrkr";178000;;;
7;"SBrkr";188500;;;
7;"SBrkr";260000;;;
8;"SBrkr";270000;;;
7;"SBrkr";260000;;;
7;"SBrkr";187500;;;
9;"SBrkr";342643;;;
8;"SBrkr";354000;;;
7;"SBrkr";301000;;;
3;"SBrkr";126175;;;
7;"SBrkr";242000;;;
5;"FuseF";87000;;;
8;"SBrkr";324000;;;
6;"SBrkr";145250;;;
6;"FuseA";214500;;;
5;"SBrkr";78000;;;
5;"SBrkr";119000;;;
5;"SBrkr";139000;;;
8;"SBrkr";284000;;;
7;"SBrkr";207000;;;
6;"SBrkr";192000;;;
5;"SBrkr";228950;;;
9;"SBrkr";377426;;;
7;"SBrkr";214000;;;
7;"SBrkr";202500;;;
6;"FuseA";155000;;;
8;"SBrkr";202900;;;
4;"SBrkr";82000;;;
3;"FuseA";87500;;;
9;"SBrkr";266000;;;
5;"SBrkr";85000;;;
6;"SBrkr";140200;;;
6;"SBrkr";151500;;;
6;"FuseA";157500;;;
7;"SBrkr";154000;;;
9;"SBrkr";437154;;;
9;"SBrkr";318061;;;
7;"SBrkr";190000;;;
5;"SBrkr";95000;;;
6;"SBrkr";105900;;;
6;"SBrkr";140000;;;
6;"SBrkr";177500;;;
6;"SBrkr";173000;;;
5;"SBrkr";134000;;;
5;"FuseF";130000;;;
8;"SBrkr";280000;;;
6;"SBrkr";156000;;;
5;"SBrkr";145000;;;
7;"SBrkr";198500;;;
6;"SBrkr";118000;;;
6;"SBrkr";190000;;;
5;"FuseA";147000;;;
6;"SBrkr";159000;;;
6;"SBrkr";165000;;;
5;"SBrkr";132000;;;
5;"SBrkr";162000;;;
6;"SBrkr";172400;;;
4;"SBrkr";134432;;;
6;"SBrkr";125000;;;
5;"SBrkr";123000;;;
7;"SBrkr";219500;;;
1;"FuseA";61000;;;
5;"SBrkr";148000;;;
8;"SBrkr";340000;;;
9;"SBrkr";394432;;;
6;"SBrkr";179000;;;
5;"SBrkr";127000;;;
7;"SBrkr";187750;;;
7;"SBrkr";213500;;;
6;"FuseA";76000;;;
6;"SBrkr";240000;;;
8;"SBrkr";192000;;;
5;"SBrkr";81000;;;
6;"SBrkr";125000;;;
7;"SBrkr";191000;;;
10;"SBrkr";426000;;;
5;"SBrkr";119000;;;
6;"SBrkr";215000;;;
5;"SBrkr";106500;;;
4;"FuseA";100000;;;
5;"FuseA";109000;;;
5;"SBrkr";129000;;;
5;"SBrkr";123000;;;
5;"SBrkr";169500;;;
5;"Mix";67000;;;
7;"SBrkr";241000;;;
8;"SBrkr";245500;;;
7;"SBrkr";164990;;;
5;"SBrkr";108000;;;
8;"SBrkr";258000;;;
6;"SBrkr";168000;;;
4;"SBrkr";150000;;;
6;"FuseA";115000;;;
6;"SBrkr";177000;;;
7;"SBrkr";280000;;;
8;"SBrkr";339750;;;
5;"FuseA";60000;;;
5;"SBrkr";145000;;;
7;"SBrkr";222000;;;
5;"FuseA";115000;;;
7;"SBrkr";228000;;;
7;"SBrkr";181134;;;
6;"SBrkr";149500;;;
6;"FuseA";239000;;;
5;"FuseF";126000;;;
5;"SBrkr";142000;;;
7;"SBrkr";206300;;;
6;"SBrkr";215000;;;
5;"FuseA";113000;;;
8;"SBrkr";315000;;;
6;"FuseA";139000;;;
7;"SBrkr";135000;;;
7;"SBrkr";275000;;;
4;"SBrkr";109008;;;
7;"SBrkr";195400;;;
6;"SBrkr";175000;;;
6;"SBrkr";85400;;;
6;"SBrkr";79900;;;
5;"SBrkr";122500;;;
6;"SBrkr";181000;;;
4;"SBrkr";81000;;;
7;"SBrkr";212000;;;
6;"FuseA";116000;;;
6;"SBrkr";119000;;;
5;"SBrkr";90350;;;
6;"SBrkr";110000;;;
10;"SBrkr";555000;;;
4;"FuseF";118000;;;
5;"SBrkr";162900;;;
7;"SBrkr";172500;;;
7;"SBrkr";210000;;;
6;"SBrkr";127500;;;
6;"SBrkr";190000;;;
7;"SBrkr";199900;;;
6;"SBrkr";119500;;;
3;"SBrkr";120000;;;
6;"FuseA";110000;;;
7;"SBrkr";280000;;;
6;"SBrkr";204000;;;
8;"SBrkr";210000;;;
5;"SBrkr";188000;;;
7;"SBrkr";175500;;;
5;"SBrkr";98000;;;
4;"SBrkr";256000;;;
8;"SBrkr";161000;;;
5;"SBrkr";110000;;;
8;"SBrkr";263435;;;
7;"SBrkr";155000;;;
5;"SBrkr";62383;;;
6;"FuseA";188700;;;
5;"SBrkr";124000;;;
7;"SBrkr";178740;;;
7;"SBrkr";167000;;;
5;"SBrkr";146500;;;
8;"SBrkr";250000;;;
6;"SBrkr";187000;;;
8;"SBrkr";212000;;;
7;"SBrkr";190000;;;
6;"SBrkr";148000;;;
8;"SBrkr";440000;;;
8;"SBrkr";251000;;;
5;"SBrkr";132500;;;
6;"SBrkr";208900;;;
9;"SBrkr";380000;;;
8;"SBrkr";297000;;;
4;"SBrkr";89471;;;
9;"SBrkr";326000;;;
9;"SBrkr";374000;;;
7;"SBrkr";155000;;;
6;"SBrkr";164000;;;
5;"SBrkr";132500;;;
5;"SBrkr";147000;;;
5;"SBrkr";156000;;;
5;"SBrkr";175000;;;
5;"FuseA";160000;;;
4;"SBrkr";86000;;;
5;"SBrkr";115000;;;
6;"FuseA";133000;;;
6;"SBrkr";172785;;;
5;"FuseA";155000;;;
5;"FuseA";91300;;;
4;"FuseA";34900;;;
8;"SBrkr";430000;;;
7;"SBrkr";184000;;;
5;"SBrkr";130000;;;
5;"SBrkr";120000;;;
6;"SBrkr";113000;;;
7;"SBrkr";226700;;;
5;"SBrkr";140000;;;
7;"SBrkr";289000;;;
6;"SBrkr";147000;;;
5;"SBrkr";124500;;;
8;"SBrkr";215000;;;
6;"SBrkr";208300;;;
7;"SBrkr";161000;;;
5;"SBrkr";124500;;;
5;"SBrkr";164900;;;
7;"SBrkr";202665;;;
5;"SBrkr";129900;;;
6;"SBrkr";134000;;;
5;"SBrkr";96500;;;
10;"SBrkr";402861;;;
6;"SBrkr";158000;;;
7;"SBrkr";265000;;;
6;"SBrkr";211000;;;
7;"SBrkr";234000;;;
4;"FuseA";106250;;;
6;"FuseA";150000;;;
6;"SBrkr";159000;;;
10;"SBrkr";184750;;;
7;"SBrkr";315750;;;
7;"SBrkr";176000;;;
5;"SBrkr";132000;;;
9;"SBrkr";446261;;;
4;"SBrkr";86000;;;
6;"SBrkr";200624;;;
6;"SBrkr";175000;;;
6;"SBrkr";128000;;;
5;"SBrkr";107500;;;
1;"FuseF";39300;;;
8;"SBrkr";178000;;;
5;"SBrkr";107500;;;
7;"SBrkr";188000;;;
4;"SBrkr";111250;;;
5;"SBrkr";158000;;;
8;"SBrkr";272000;;;
9;"SBrkr";315000;;;
8;"SBrkr";248000;;;
7;"SBrkr";213250;;;
7;"SBrkr";133000;;;
7;"SBrkr";179665;;;
7;"SBrkr";229000;;;
6;"FuseA";210000;;;
5;"SBrkr";129500;;;
5;"SBrkr";125000;;;
7;"SBrkr";263000;;;
6;"SBrkr";140000;;;
5;"FuseA";112500;;;
8;"SBrkr";255500;;;
4;"SBrkr";108000;;;
7;"SBrkr";284000;;;
5;"FuseA";113000;;;
5;"FuseA";141000;;;
4;"SBrkr";108000;;;
7;"SBrkr";175000;;;
7;"SBrkr";234000;;;
5;"SBrkr";121500;;;
5;"SBrkr";170000;;;
5;"SBrkr";108000;;;
6;"SBrkr";185000;;;
7;"SBrkr";268000;;;
6;"FuseF";128000;;;
9;"SBrkr";325000;;;
7;"SBrkr";214000;;;
8;"SBrkr";316600;;;
5;"SBrkr";135960;;;
5;"SBrkr";142600;;;
6;"SBrkr";120000;;;
7;"SBrkr";224500;;;
7;"SBrkr";170000;;;
5;"SBrkr";139000;;;
5;"SBrkr";118500;;;
7;"SBrkr";145000;;;
5;"SBrkr";164500;;;
7;"SBrkr";146000;;;
5;"FuseF";131500;;;
6;"SBrkr";181900;;;
8;"SBrkr";253293;;;
6;"SBrkr";118500;;;
10;"SBrkr";325000;;;
4;"SBrkr";133000;;;
8;"SBrkr";369900;;;
6;"SBrkr";130000;;;
5;"SBrkr";137000;;;
5;"SBrkr";143000;;;
5;"FuseA";79500;;;
7;"SBrkr";185900;;;
10;"SBrkr";451950;;;
5;"SBrkr";138000;;;
6;"SBrkr";140000;;;
5;"SBrkr";110000;;;
8;"SBrkr";319000;;;
6;"FuseA";114504;;;
7;"SBrkr";194201;;;
5;"SBrkr";217500;;;
6;"SBrkr";151000;;;
8;"SBrkr";275000;;;
6;"SBrkr";141000;;;
8;"SBrkr";220000;;;
7;"SBrkr";151000;;;
7;"SBrkr";221000;;;
7;"SBrkr";205000;;;
5;"SBrkr";152000;;;
5;"SBrkr";225000;;;
8;"SBrkr";359100;;;
4;"SBrkr";118500;;;
9;"SBrkr";313000;;;
6;"SBrkr";148000;;;
8;"SBrkr";261500;;;
5;"SBrkr";147000;;;
4;"SBrkr";75500;;;
6;"SBrkr";137500;;;
6;"SBrkr";183200;;;
6;"SBrkr";105500;;;
9;"SBrkr";314813;;;
8;"SBrkr";305000;;;
3;"FuseF";67000;;;
6;"SBrkr";240000;;;
5;"SBrkr";135000;;;
6;"SBrkr";168500;;;
6;"SBrkr";165150;;;
6;"SBrkr";160000;;;
5;"SBrkr";139900;;;
6;"SBrkr";153000;;;
5;"SBrkr";135000;;;
6;"SBrkr";168500;;;
5;"FuseA";124000;;;
8;"SBrkr";209500;;;
7;"SBrkr";82500;;;
5;"SBrkr";139400;;;
6;"SBrkr";144000;;;
6;"FuseA";200000;;;
2;"FuseA";60000;;;
5;"FuseA";93000;;;
5;"FuseA";85000;;;
8;"SBrkr";264561;;;
8;"SBrkr";274000;;;
7;"SBrkr";226000;;;
8;"SBrkr";345000;;;
5;"SBrkr";152000;;;
9;"SBrkr";370878;;;
6;"SBrkr";143250;;;
5;"SBrkr";98300;;;
6;"SBrkr";155000;;;
6;"SBrkr";155000;;;
4;"SBrkr";84500;;;
7;"SBrkr";205950;;;
4;"SBrkr";108000;;;
7;"SBrkr";191000;;;
6;"SBrkr";135000;;;
8;"SBrkr";350000;;;
6;"SBrkr";88000;;;
5;"SBrkr";145500;;;
7;"SBrkr";149000;;;
6;"SBrkr";97500;;;
5;"SBrkr";167000;;;
7;"SBrkr";197900;;;
8;"SBrkr";402000;;;
6;"SBrkr";110000;;;
4;"SBrkr";137500;;;
8;"SBrkr";423000;;;
8;"SBrkr";230500;;;
6;"SBrkr";129000;;;
6;"SBrkr";193500;;;
5;"SBrkr";168000;;;
4;"SBrkr";137500;;;
6;"SBrkr";173500;;;
6;"SBrkr";103600;;;
6;"SBrkr";165000;;;
6;"SBrkr";257500;;;
6;"SBrkr";140000;;;
6;"SBrkr";148500;;;
4;"SBrkr";87000;;;
5;"SBrkr";109500;;;
8;"SBrkr";372500;;;
5;"SBrkr";128500;;;
6;"SBrkr";143000;;;
5;"SBrkr";159434;;;
6;"SBrkr";173000;;;
9;"SBrkr";285000;;;
7;"SBrkr";221000;;;
7;"SBrkr";207500;;;
7;"SBrkr";227875;;;
7;"SBrkr";148800;;;
8;"SBrkr";392000;;;
6;"SBrkr";194700;;;
6;"SBrkr";141000;;;
10;"SBrkr";755000;;;
7;"SBrkr";335000;;;
5;"SBrkr";108480;;;
5;"SBrkr";141500;;;
6;"SBrkr";176000;;;
5;"SBrkr";89000;;;
5;"FuseA";123500;;;
5;"SBrkr";138500;;;
7;"SBrkr";196000;;;
8;"SBrkr";312500;;;
7;"SBrkr";140000;;;
8;"SBrkr";361919;;;
5;"SBrkr";140000;;;
7;"SBrkr";213000;;;
4;"SBrkr";55000;;;
7;"SBrkr";302000;;;
8;"SBrkr";254000;;;
7;"SBrkr";179540;;;
5;"SBrkr";109900;;;
3;"SBrkr";52000;;;
4;"SBrkr";102776;;;
8;"SBrkr";189000;;;
4;"SBrkr";129000;;;
6;"SBrkr";130500;;;
6;"SBrkr";165000;;;
7;"SBrkr";159500;;;
5;"SBrkr";157000;;;
7;"SBrkr";341000;;;
5;"SBrkr";128500;;;
8;"SBrkr";275000;;;
6;"SBrkr";143000;;;
4;"SBrkr";124500;;;
4;"SBrkr";135000;;;
9;"SBrkr";320000;;;
4;"SBrkr";120500;;;
6;"SBrkr";222000;;;
7;"SBrkr";194500;;;
